Categories,Zone ,Description ,Comment 
RESIDENTIAL ZONES,RF1,SINGLE DETACHED RESIDENTIAL ZONE,This zone provides the opportunity for single detached housing.
,RF2,LOW DENSITY INFILL ZONE,"This zone provides the opportunity for retaining single detached housing, while allowing some multiple dwelling development such as semi-detached and duplex housing as well as secondary suites and garden suites."
,RF3,LOW DENSITY REDEVELOPMENT ZONE,"This zone provides the opportunity for single detached, semi-detached and duplex housing while allowing some apartment or row housing up to four units, as well as secondary suites and garden suites."
,RSL,RESIDENTIAL SMALL LOT ZONE,This zone provides the opportunity for single detached housing with attached garages on smaller lots and secondary suites and garden suites.
,RPL,PLANNED LOT RESIDENTIAL ZONE,This zone provides the opportunity for single family housing on smaller lots and accessed by a rear lane and secondary suites and garden suites.
,RF4,SEMI DETACHED ZONE,This zone provides the opportunity for primarily semi-detached and duplex housing.
,RF5,ROW HOUSING ZONE,"This zone provides the opportunity for relatively low to medium density housing, such as row houses or town houses and semi-detached housing."
,RF6,MEDIUM DENSITY MULTIPLE FAMILY ZONE,"This zone provides the opportunity for medium density housing, such as row houses or town houses that may have separate second storey units."
,RA7,LOW RISE APARTMENT ZONE,This zone provides the opportunity for low rise apartment buildings up to four storeys and similar developments such as multiple unit seniors apartments.
,RA8,MEDIUM RISE APARTMENT ZONE,This zone provides the opportunity for medium rise apartment buildings up to six storeys in height and similar developments such as multiple unit seniors apartments.
,RA9,HIGH RISE APARTMENT ZONE,This zone provides the opportunity for high rise apartment buildings with some commercial uses on the lower floors.
,RR,RURAL RESIDENTIAL ZONE,This zone provides the opportunity for permanent single family residential development in a rural setting.
,RMH,MOBILE HOME ZONE,This zone provides the opportunity for mobile homes developed within a mobile home park or subdivision.
,,,
COMMERCIAL ZONES,CNC,NEIGHBOURHOOD CONVENIENCE COMMERCIAL ZONE,"This zone provides the opportunity for convenience commercial and personal service uses, intended to serve the day-to-day needs of residents within the neighbourhood. Examples include convenience stores and coffee shops."
